Group,Configuration,n,k,Algorithm,Time (ms)
"Маленькие массивы, разные k","n=500, k=5",500,5,Naive Python,2.1377000181625285
"Маленькие массивы, разные k","n=500, k=5",500,5,Naive Numba,0.42176665738224983
"Маленькие массивы, разные k","n=500, k=5",500,5,Two Heaps,3.105966665316373
"Маленькие массивы, разные k","n=500, k=5",500,5,Numba Incremental,0.016266654711216688
"Маленькие массивы, разные k","n=500, k=10",500,10,Naive Python,4.694866656791419
"Маленькие массивы, разные k","n=500, k=10",500,10,Naive Numba,0.7202333266225954
"Маленькие массивы, разные k","n=500, k=10",500,10,Two Heaps,5.993400001898408
"Маленькие массивы, разные k","n=500, k=10",500,10,Numba Incremental,0.03993332696457704
"Маленькие массивы, разные k","n=500, k=50",500,50,Naive Python,10.514133338195583
"Маленькие массивы, разные k","n=500, k=50",500,50,Naive Numba,1.3831666631934543
"Маленькие массивы, разные k","n=500, k=50",500,50,Two Heaps,5.316433302747707
"Маленькие массивы, разные k","n=500, k=50",500,50,Numba Incremental,0.2693666610866785
"Маленькие массивы, разные k","n=500, k=100",500,100,Naive Python,16.580666687029105
"Маленькие массивы, разные k","n=500, k=100",500,100,Naive Numba,2.2888000239618123
"Маленькие массивы, разные k","n=500, k=100",500,100,Two Heaps,4.692766660203536
"Маленькие массивы, разные k","n=500, k=100",500,100,Numba Incremental,0.20950000422696272
"Средние массивы, маленькие k","n=1k, k=1",1000,1,Naive Python,2.4058999842964113
"Средние массивы, маленькие k","n=1k, k=1",1000,1,Naive Numba,0.3526666744922598
"Средние массивы, маленькие k","n=1k, k=1",1000,1,Two Heaps,5.550833321952571
"Средние массивы, маленькие k","n=1k, k=1",1000,1,Numba Incremental,0.01196668017655611
"Средние массивы, маленькие k","n=1k, k=5",1000,5,Naive Python,3.734233323484659
"Средние массивы, маленькие k","n=1k, k=5",1000,5,Naive Numba,0.9610333169500033
"Средние массивы, маленькие k","n=1k, k=5",1000,5,Two Heaps,6.93486665841192
"Средние массивы, маленькие k","n=1k, k=5",1000,5,Numba Incremental,0.04699998923266927
"Средние массивы, маленькие k","n=1k, k=10",1000,10,Naive Python,9.531733347103
"Средние массивы, маленькие k","n=1k, k=10",1000,10,Naive Numba,0.9949333616532385
"Средние массивы, маленькие k","n=1k, k=10",1000,10,Two Heaps,12.779900008657327
"Средние массивы, маленькие k","n=1k, k=10",1000,10,Numba Incremental,0.05476669563601414
"Средние массивы, маленькие k","n=1k, k=25",1000,25,Naive Python,8.261366669709483
"Средние массивы, маленькие k","n=1k, k=25",1000,25,Naive Numba,1.5397333578827481
"Средние массивы, маленькие k","n=1k, k=25",1000,25,Two Heaps,5.766266665887088
"Средние массивы, маленькие k","n=1k, k=25",1000,25,Numba Incremental,0.10973333458726604
"Средние массивы, маленькие k","n=1k, k=50",1000,50,Naive Python,22.037566639482975
"Средние массивы, маленькие k","n=1k, k=50",1000,50,Naive Numba,2.766966683945308
"Средние массивы, маленькие k","n=1k, k=50",1000,50,Two Heaps,11.115299984036634
"Средние массивы, маленькие k","n=1k, k=50",1000,50,Numba Incremental,0.22463331697508693
"Средние массивы, маленькие k","n=1k, k=100",1000,100,Naive Python,36.70336666982621
"Средние массивы, маленькие k","n=1k, k=100",1000,100,Naive Numba,5.40339999133721
"Средние массивы, маленькие k","n=1k, k=100",1000,100,Two Heaps,10.360900002221266
"Средние массивы, маленькие k","n=1k, k=100",1000,100,Numba Incremental,0.3487333112085859
"Средние массивы, большие k","n=5k, k=10",5000,10,Naive Python,50.700499986608826
"Средние массивы, большие k","n=5k, k=10",5000,10,Naive Numba,5.666333347714196
"Средние массивы, большие k","n=5k, k=10",5000,10,Two Heaps,63.05840002217641
"Средние массивы, большие k","n=5k, k=10",5000,10,Numba Incremental,0.2796666619057457
"Средние массивы, большие k","n=5k, k=50",5000,50,Naive Python,115.83133332896978
"Средние массивы, большие k","n=5k, k=50",5000,50,Naive Numba,15.216999997695288
"Средние массивы, большие k","n=5k, k=50",5000,50,Two Heaps,60.17049999597172
"Средние массивы, большие k","n=5k, k=50",5000,50,Numba Incremental,1.0328000062145293
"Средние массивы, большие k","n=5k, k=100",5000,100,Naive Python,214.1273666638881
"Средние массивы, большие k","n=5k, k=100",5000,100,Naive Numba,30.41636668300877
"Средние массивы, большие k","n=5k, k=100",5000,100,Two Heaps,51.8885666776138
"Средние массивы, большие k","n=5k, k=100",5000,100,Numba Incremental,1.617666663757215
"Средние массивы, большие k","n=5k, k=250",5000,250,Naive Python,515.5622666352428
"Средние массивы, большие k","n=5k, k=250",5000,250,Naive Numba,78.63173333074276
"Средние массивы, большие k","n=5k, k=250",5000,250,Two Heaps,52.88836668478325
"Средние массивы, большие k","n=5k, k=250",5000,250,Numba Incremental,3.798933350481093
"Средние массивы, большие k","n=5k, k=500",5000,500,Naive Python,1043.410066651025
"Средние массивы, большие k","n=5k, k=500",5000,500,Naive Numba,167.74876666022465
"Средние массивы, большие k","n=5k, k=500",5000,500,Two Heaps,51.00803331394369
"Средние массивы, большие k","n=5k, k=500",5000,500,Numba Incremental,6.771500008956839
Большие массивы,"n=10k, k=1",10000,1,Naive Python,26.81076668280487
Большие массивы,"n=10k, k=1",10000,1,Naive Numba,2.23676668247208
Большие массивы,"n=10k, k=1",10000,1,Two Heaps,60.149366656939186
Большие массивы,"n=10k, k=1",10000,1,Numba Incremental,0.06883333359534542
Большие массивы,"n=10k, k=10",10000,10,Naive Python,98.04096666630358
Большие массивы,"n=10k, k=10",10000,10,Naive Numba,10.65963334015881
Большие массивы,"n=10k, k=10",10000,10,Two Heaps,117.81606666045263
Большие массивы,"n=10k, k=10",10000,10,Numba Incremental,0.6735666538588703
Большие массивы,"n=10k, k=50",10000,50,Naive Python,254.71480000608912
Большие массивы,"n=10k, k=50",10000,50,Naive Numba,30.687700006334733
Большие массивы,"n=10k, k=50",10000,50,Two Heaps,124.6026000007987
Большие массивы,"n=10k, k=50",10000,50,Numba Incremental,2.293233332845072
Большие массивы,"n=10k, k=100",10000,100,Naive Python,421.6443666761431
Большие массивы,"n=10k, k=100",10000,100,Naive Numba,60.5698666574123
Большие массивы,"n=10k, k=100",10000,100,Two Heaps,116.02543335175142
Большие массивы,"n=10k, k=100",10000,100,Numba Incremental,3.728533318887154
Большие массивы,"n=10k, k=250",10000,250,Naive Python,1090.412566671148
Большие массивы,"n=10k, k=250",10000,250,Naive Numba,162.68719998576367
Большие массивы,"n=10k, k=250",10000,250,Two Heaps,107.48383334915464
Большие массивы,"n=10k, k=250",10000,250,Numba Incremental,7.172066640729706
Большие массивы,"n=10k, k=500",10000,500,Naive Python,2161.3115333214714
Большие массивы,"n=10k, k=500",10000,500,Naive Numba,352.5346666574478
Большие массивы,"n=10k, k=500",10000,500,Two Heaps,104.17906666407362
Большие массивы,"n=10k, k=500",10000,500,Numba Incremental,13.825899998967847
Большие массивы,"n=10k, k=1k",10000,1000,Naive Python,4500.822233366004
Большие массивы,"n=10k, k=1k",10000,1000,Naive Numba,724.5264666465422
Большие массивы,"n=10k, k=1k",10000,1000,Two Heaps,107.72029999255513
Большие массивы,"n=10k, k=1k",10000,1000,Numba Incremental,26.63253331168865
Очень большие массивы,"n=25k, k=50",25000,50,Naive Python,591.7368666656936
Очень большие массивы,"n=25k, k=50",25000,50,Naive Numba,78.86693333663668
Очень большие массивы,"n=25k, k=50",25000,50,Two Heaps,324.882933346089
Очень большие массивы,"n=25k, k=50",25000,50,Numba Incremental,5.358133329233776
Очень большие массивы,"n=25k, k=100",25000,100,Naive Python,1091.664033359848
Очень большие массивы,"n=25k, k=100",25000,100,Naive Numba,154.71303331044814
Очень большие массивы,"n=25k, k=100",25000,100,Two Heaps,299.18756667757407
Очень большие массивы,"n=25k, k=100",25000,100,Numba Incremental,11.15686665677155
Очень большие массивы,"n=25k, k=500",25000,500,Naive Python,3254.168200015556
Очень большие массивы,"n=25k, k=500",25000,500,Naive Numba,382.22999998833984
Очень большие массивы,"n=25k, k=500",25000,500,Two Heaps,115.49253332971905
Очень большие массивы,"n=25k, k=500",25000,500,Numba Incremental,15.565233343901733
Очень большие массивы,"n=25k, k=1k",25000,1000,Naive Python,5109.00523335052
Очень большие массивы,"n=25k, k=1k",25000,1000,Naive Numba,863.8100000292374
Очень большие массивы,"n=25k, k=1k",25000,1000,Two Heaps,118.87879999509703
Очень большие массивы,"n=25k, k=1k",25000,1000,Numba Incremental,32.743300000826515
Экстремальные случаи,"n=50k, k=10",50000,10,Naive Python,219.8225000174716
Экстремальные случаи,"n=50k, k=10",50000,10,Naive Numba,24.378499986293416
Экстремальные случаи,"n=50k, k=10",50000,10,Two Heaps,280.82586663852754
Экстремальные случаи,"n=50k, k=10",50000,10,Numba Incremental,1.4478333372001846
Экстремальные случаи,"n=50k, k=100",50000,100,Naive Python,937.554333320198
Экстремальные случаи,"n=50k, k=100",50000,100,Naive Numba,134.3090666535621
Экстремальные случаи,"n=50k, k=100",50000,100,Two Heaps,264.8136666587864
Экстремальные случаи,"n=50k, k=100",50000,100,Numba Incremental,8.488800008005152
